TeamModel,CoachModel,SquadModel,PlayoffModel,AccuracyScore,ManualAccuracy
GradientBoosting,AdaBoost,RandomForest,LogisticRegression,71.42857142857143,85.71428571428571
AdaBoost,AdaBoost,LinearRegression,AdaBoost,71.42857142857143,85.71428571428571
LinearRegression,GradientBoosting,RandomForest,LogisticRegression,71.42857142857143,85.71428571428571
LinearRegression,LinearRegression,AdaBoost,LogisticRegression,71.42857142857143,85.71428571428571
DecisionTree,LinearRegression,LinearRegression,AdaBoost,71.42857142857143,85.71428571428571
RandomForest,RandomForest,AdaBoost,KNN,57.14285714285714,85.71428571428571
RandomForest,LinearRegression,LinearRegression,GradientBoosting,57.14285714285714,85.71428571428571
AdaBoost,RandomForest,GradientBoosting,KNN,57.14285714285714,85.71428571428571
DecisionTree,GradientBoosting,LinearRegression,DecisionTree,57.14285714285714,85.71428571428571
DecisionTree,AdaBoost,AdaBoost,KNN,57.14285714285714,85.71428571428571
RandomForest,RandomForest,LinearRegression,GradientBoosting,42.857142857142854,85.71428571428571
GradientBoosting,DecisionTree,DecisionTree,KNN,42.857142857142854,85.71428571428571
LinearRegression,RandomForest,LinearRegression,ExtraTrees,42.857142857142854,85.71428571428571
LinearRegression,DecisionTree,RandomForest,GradientBoosting,42.857142857142854,85.71428571428571
DecisionTree,GradientBoosting,DecisionTree,LogisticRegression,42.857142857142854,85.71428571428571
DecisionTree,LinearRegression,AdaBoost,ExtraTrees,42.857142857142854,85.71428571428571
GradientBoosting,GradientBoosting,DecisionTree,DecisionTree,28.57142857142857,85.71428571428571
DecisionTree,AdaBoost,LinearRegression,SVC,28.57142857142857,85.71428571428571
AdaBoost,AdaBoost,LinearRegression,SVC,85.71428571428571,71.42857142857143
LinearRegression,RandomForest,DecisionTree,KNN,85.71428571428571,71.42857142857143
LinearRegression,RandomForest,DecisionTree,DecisionTree,85.71428571428571,71.42857142857143
LinearRegression,RandomForest,DecisionTree,GradientBoosting,85.71428571428571,71.42857142857143
LinearRegression,LinearRegression,GradientBoosting,ExtraTrees,85.71428571428571,71.42857142857143
LinearRegression,LinearRegression,AdaBoost,GradientBoosting,85.71428571428571,71.42857142857143
LinearRegression,DecisionTree,AdaBoost,KNN,85.71428571428571,71.42857142857143
RandomForest,RandomForest,AdaBoost,MLPClassifier,71.42857142857143,71.42857142857143
RandomForest,RandomForest,AdaBoost,QuadraticDiscriminantAnalysis,71.42857142857143,71.42857142857143
RandomForest,RandomForest,DecisionTree,KNN,71.42857142857143,71.42857142857143
RandomForest,LinearRegression,DecisionTree,KNN,71.42857142857143,71.42857142857143
RandomForest,LinearRegression,DecisionTree,RandomForest,71.42857142857143,71.42857142857143
RandomForest,LinearRegression,DecisionTree,SVC,71.42857142857143,71.42857142857143
RandomForest,DecisionTree,RandomForest,SVC,71.42857142857143,71.42857142857143
GradientBoosting,GradientBoosting,RandomForest,KNN,71.42857142857143,71.42857142857143
GradientBoosting,GradientBoosting,LinearRegression,RandomForest,71.42857142857143,71.42857142857143
GradientBoosting,GradientBoosting,LinearRegression,MLPClassifier,71.42857142857143,71.42857142857143
GradientBoosting,GradientBoosting,LinearRegression,QuadraticDiscriminantAnalysis,71.42857142857143,71.42857142857143
GradientBoosting,AdaBoost,RandomForest,SVC,71.42857142857143,71.42857142857143
GradientBoosting,DecisionTree,AdaBoost,AdaBoost,71.42857142857143,71.42857142857143
GradientBoosting,DecisionTree,AdaBoost,NaiveBayes,71.42857142857143,71.42857142857143
AdaBoost,RandomForest,LinearRegression,MLPClassifier,71.42857142857143,71.42857142857143
AdaBoost,RandomForest,DecisionTree,KNN,71.42857142857143,71.42857142857143
LinearRegression,GradientBoosting,RandomForest,GradientBoosting,71.42857142857143,71.42857142857143
LinearRegression,AdaBoost,AdaBoost,KNN,71.42857142857143,71.42857142857143
LinearRegression,AdaBoost,AdaBoost,DecisionTree,71.42857142857143,71.42857142857143
LinearRegression,AdaBoost,AdaBoost,ExtraTrees,71.42857142857143,71.42857142857143
LinearRegression,LinearRegression,GradientBoosting,KNN,71.42857142857143,71.42857142857143
LinearRegression,LinearRegression,GradientBoosting,DecisionTree,71.42857142857143,71.42857142857143
LinearRegression,LinearRegression,AdaBoost,RandomForest,71.42857142857143,71.42857142857143
LinearRegression,LinearRegression,LinearRegression,ExtraTrees,71.42857142857143,71.42857142857143
LinearRegression,LinearRegression,DecisionTree,DecisionTree,71.42857142857143,71.42857142857143
LinearRegression,DecisionTree,RandomForest,AdaBoost,71.42857142857143,71.42857142857143
LinearRegression,DecisionTree,RandomForest,NaiveBayes,71.42857142857143,71.42857142857143
LinearRegression,DecisionTree,AdaBoost,LogisticRegression,71.42857142857143,71.42857142857143
LinearRegression,DecisionTree,AdaBoost,GradientBoosting,71.42857142857143,71.42857142857143
LinearRegression,DecisionTree,AdaBoost,ExtraTrees,71.42857142857143,71.42857142857143
DecisionTree,GradientBoosting,AdaBoost,SVC,71.42857142857143,71.42857142857143
DecisionTree,GradientBoosting,AdaBoost,QuadraticDiscriminantAnalysis,71.42857142857143,71.42857142857143
DecisionTree,GradientBoosting,AdaBoost,ExtraTrees,71.42857142857143,71.42857142857143
DecisionTree,GradientBoosting,LinearRegression,RandomForest,71.42857142857143,71.42857142857143
DecisionTree,DecisionTree,RandomForest,LogisticRegression,71.42857142857143,71.42857142857143
DecisionTree,DecisionTree,LinearRegression,AdaBoost,71.42857142857143,71.42857142857143
RandomForest,RandomForest,RandomForest,RandomForest,57.14285714285714,71.42857142857143
RandomForest,GradientBoosting,RandomForest,KNN,57.14285714285714,71.42857142857143
RandomForest,GradientBoosting,RandomForest,DecisionTree,57.14285714285714,71.42857142857143
RandomForest,GradientBoosting,RandomForest,GradientBoosting,57.14285714285714,71.42857142857143
RandomForest,GradientBoosting,DecisionTree,GradientBoosting,57.14285714285714,71.42857142857143
RandomForest,AdaBoost,GradientBoosting,GradientBoosting,57.14285714285714,71.42857142857143
RandomForest,AdaBoost,LinearRegression,SVC,57.14285714285714,71.42857142857143
RandomForest,AdaBoost,LinearRegression,GradientBoosting,57.14285714285714,71.42857142857143
RandomForest,AdaBoost,LinearRegression,MLPClassifier,57.14285714285714,71.42857142857143
RandomForest,AdaBoost,LinearRegression,QuadraticDiscriminantAnalysis,57.14285714285714,71.42857142857143
RandomForest,LinearRegression,GradientBoosting,GradientBoosting,57.14285714285714,71.42857142857143
RandomForest,LinearRegression,GradientBoosting,ExtraTrees,57.14285714285714,71.42857142857143
RandomForest,LinearRegression,AdaBoost,KNN,57.14285714285714,71.42857142857143
RandomForest,LinearRegression,AdaBoost,GradientBoosting,57.14285714285714,71.42857142857143
RandomForest,LinearRegression,LinearRegression,ExtraTrees,57.14285714285714,71.42857142857143
RandomForest,LinearRegression,DecisionTree,LogisticRegression,57.14285714285714,71.42857142857143
RandomForest,DecisionTree,LinearRegression,SVC,57.14285714285714,71.42857142857143
RandomForest,DecisionTree,DecisionTree,ExtraTrees,57.14285714285714,71.42857142857143
GradientBoosting,RandomForest,RandomForest,DecisionTree,57.14285714285714,71.42857142857143
GradientBoosting,RandomForest,AdaBoost,SVC,57.14285714285714,71.42857142857143
GradientBoosting,RandomForest,LinearRegression,RandomForest,57.14285714285714,71.42857142857143
GradientBoosting,RandomForest,DecisionTree,DecisionTree,57.14285714285714,71.42857142857143
GradientBoosting,GradientBoosting,AdaBoost,ExtraTrees,57.14285714285714,71.42857142857143
GradientBoosting,GradientBoosting,LinearRegression,AdaBoost,57.14285714285714,71.42857142857143
GradientBoosting,GradientBoosting,LinearRegression,NaiveBayes,57.14285714285714,71.42857142857143
GradientBoosting,AdaBoost,AdaBoost,LogisticRegression,57.14285714285714,71.42857142857143
GradientBoosting,AdaBoost,LinearRegression,KNN,57.14285714285714,71.42857142857143
GradientBoosting,AdaBoost,DecisionTree,AdaBoost,57.14285714285714,71.42857142857143
GradientBoosting,AdaBoost,DecisionTree,NaiveBayes,57.14285714285714,71.42857142857143
GradientBoosting,LinearRegression,RandomForest,ExtraTrees,57.14285714285714,71.42857142857143
GradientBoosting,LinearRegression,GradientBoosting,DecisionTree,57.14285714285714,71.42857142857143
GradientBoosting,LinearRegression,AdaBoost,KNN,57.14285714285714,71.42857142857143
GradientBoosting,LinearRegression,LinearRegression,SVC,57.14285714285714,71.42857142857143
GradientBoosting,LinearRegression,LinearRegression,GradientBoosting,57.14285714285714,71.42857142857143
GradientBoosting,LinearRegression,LinearRegression,AdaBoost,57.14285714285714,71.42857142857143
GradientBoosting,LinearRegression,LinearRegression,NaiveBayes,57.14285714285714,71.42857142857143
GradientBoosting,DecisionTree,RandomForest,RandomForest,57.14285714285714,71.42857142857143
GradientBoosting,DecisionTree,GradientBoosting,KNN,57.14285714285714,71.42857142857143
GradientBoosting,DecisionTree,GradientBoosting,LogisticRegression,57.14285714285714,71.42857142857143
GradientBoosting,DecisionTree,DecisionTree,DecisionTree,57.14285714285714,71.42857142857143
GradientBoosting,DecisionTree,DecisionTree,SVC,57.14285714285714,71.42857142857143
AdaBoost,RandomForest,RandomForest,LogisticRegression,57.14285714285714,71.42857142857143
AdaBoost,RandomForest,GradientBoosting,DecisionTree,57.14285714285714,71.42857142857143
AdaBoost,RandomForest,GradientBoosting,LogisticRegression,57.14285714285714,71.42857142857143
AdaBoost,RandomForest,DecisionTree,DecisionTree,57.14285714285714,71.42857142857143
AdaBoost,AdaBoost,DecisionTree,DecisionTree,57.14285714285714,71.42857142857143
AdaBoost,LinearRegression,GradientBoosting,KNN,57.14285714285714,71.42857142857143
AdaBoost,LinearRegression,GradientBoosting,RandomForest,57.14285714285714,71.42857142857143
AdaBoost,LinearRegression,GradientBoosting,SVC,57.14285714285714,71.42857142857143
AdaBoost,LinearRegression,LinearRegression,MLPClassifier,57.14285714285714,71.42857142857143
AdaBoost,DecisionTree,DecisionTree,LogisticRegression,57.14285714285714,71.42857142857143
LinearRegression,RandomForest,RandomForest,ExtraTrees,57.14285714285714,71.42857142857143
LinearRegression,RandomForest,GradientBoosting,RandomForest,57.14285714285714,71.42857142857143
LinearRegression,RandomForest,AdaBoost,DecisionTree,57.14285714285714,71.42857142857143
LinearRegression,GradientBoosting,RandomForest,RandomForest,57.14285714285714,71.42857142857143
LinearRegression,GradientBoosting,AdaBoost,KNN,57.14285714285714,71.42857142857143
LinearRegression,GradientBoosting,AdaBoost,DecisionTree,57.14285714285714,71.42857142857143
LinearRegression,AdaBoost,RandomForest,LogisticRegression,57.14285714285714,71.42857142857143
LinearRegression,AdaBoost,RandomForest,ExtraTrees,57.14285714285714,71.42857142857143
LinearRegression,AdaBoost,LinearRegression,SVC,57.14285714285714,71.42857142857143
LinearRegression,LinearRegression,RandomForest,ExtraTrees,57.14285714285714,71.42857142857143
LinearRegression,LinearRegression,LinearRegression,LogisticRegression,57.14285714285714,71.42857142857143
LinearRegression,LinearRegression,DecisionTree,MLPClassifier,57.14285714285714,71.42857142857143
LinearRegression,LinearRegression,DecisionTree,QuadraticDiscriminantAnalysis,57.14285714285714,71.42857142857143
LinearRegression,DecisionTree,RandomForest,RandomForest,57.14285714285714,71.42857142857143
LinearRegression,DecisionTree,GradientBoosting,LogisticRegression,57.14285714285714,71.42857142857143
LinearRegression,DecisionTree,LinearRegression,ExtraTrees,57.14285714285714,71.42857142857143
LinearRegression,DecisionTree,DecisionTree,KNN,57.14285714285714,71.42857142857143
LinearRegression,DecisionTree,DecisionTree,DecisionTree,57.14285714285714,71.42857142857143
DecisionTree,RandomForest,GradientBoosting,MLPClassifier,57.14285714285714,71.42857142857143
DecisionTree,RandomForest,AdaBoost,RandomForest,57.14285714285714,71.42857142857143
DecisionTree,RandomForest,LinearRegression,SVC,57.14285714285714,71.42857142857143
DecisionTree,RandomForest,DecisionTree,RandomForest,57.14285714285714,71.42857142857143
DecisionTree,RandomForest,DecisionTree,AdaBoost,57.14285714285714,71.42857142857143
DecisionTree,RandomForest,DecisionTree,QuadraticDiscriminantAnalysis,57.14285714285714,71.42857142857143
DecisionTree,GradientBoosting,RandomForest,GradientBoosting,57.14285714285714,71.42857142857143
