year,tmID,coach_rating,team_rating,playoff,confID,squad_rating
1,1,45.63286979857981,0.0,0,0,0.0
2,1,45.63286979857981,99.0,1,0,0.0
3,1,71.27741611696568,99.0,1,0,11.726965848646035
4,1,45.63286979857981,99.0,1,0,14.243337338420385
5,1,45.63286979857981,0.0,0,0,13.52059041688067
6,1,6.685017144993165,0.99,0,0,16.130075952211918
7,1,45.63286979857981,1.98,0,0,10.070170638416148
7,2,45.63286979857981,0.0,0,0,9.10557501880957
1,3,45.63286979857981,99.0,1,0,0.0
2,3,45.63286979857981,99.0,1,0,0.0
3,3,16.55054876134859,0.99,0,0,10.026502896974312
4,3,44.294619036968136,99.0,1,0,11.756239488421356
4,4,45.63286979857981,99.0,1,0,16.367893052709665
5,4,45.63286979857981,99.0,1,0,10.073216392649904
6,4,94.51099237741937,99.0,1,0,11.74514044620781
7,4,96.13037986266811,99.0,1,0,13.64277639279415
1,5,45.63286979857981,0.0,0,0,0.0
2,5,45.63286979857981,0.0,0,0,0.0
3,5,45.63286979857981,8.91,0,0,9.950811507936509
4,5,45.63286979857981,99.0,1,0,11.18554283754698
5,5,28.956994960273736,99.0,1,0,11.78053558420746
6,5,58.37985554553722,99.0,1,0,19.435310384377452
7,5,85.11962926439423,99.0,1,0,15.32207051745641
1,6,45.63286979857981,99.0,1,1,0.0
2,6,45.63286979857981,99.0,1,1,0.0
3,6,94.57210343993528,99.0,1,1,13.225998754115258
4,6,0.0,99.0,1,1,14.33912321366623
5,6,18.11779124558471,0.0,0,1,16.21181678416243
6,6,88.60644894270168,99.0,1,1,19.090688381415468
7,6,80.28368746339763,99.0,1,1,14.888147335273848
1,7,45.63286979857981,0.0,0,0,0.0
2,7,45.63286979857981,0.0,0,0,0.8323913043478262
3,7,45.63286979857981,99.0,1,0,10.903738376141916
4,7,11.865363927208605,0.99,0,0,10.825311926403966
5,7,45.63286979857981,0.99,0,0,14.568547217284186
6,7,45.63286979857981,99.0,1,0,12.641798384077797
7,7,79.45089059023707,99.0,1,0,11.351015845680026
1,8,45.63286979857981,99.0,1,1,0.0
2,8,45.63286979857981,99.0,1,1,0.0
3,8,94.28588703120631,99.0,1,1,17.710382224462364
4,8,94.00293928929275,99.0,1,1,19.472959440920288
5,8,45.63286979857981,99.0,1,1,16.3758681243525
6,8,45.63286979857981,99.0,1,1,17.79278979492478
7,8,45.63286979857981,99.0,1,1,12.132482582441703
1,9,45.63286979857981,0.0,0,0,0.0
2,9,45.63286979857981,99.0,1,0,1.0673076923076923
3,9,18.045476440995028,0.99,0,0,10.115500671409919
1,10,45.63286979857981,0.0,0,1,0.0
2,10,45.63286979857981,0.0,0,1,0.0
3,10,45.63286979857981,0.0,0,1,7.21711058991684
4,10,45.63286979857981,99.0,1,1,11.641074147367032
5,10,45.63286979857981,99.0,1,1,8.83189396290017
6,10,10.840698285516217,1.98,0,1,8.66836039248108
7,10,36.502335561631156,2.9699999999999998,0,1,8.611786762196314
1,11,45.63286979857981,99.0,1,0,0.0
2,11,45.63286979857981,99.0,1,0,0.0
3,11,93.48062904678017,99.0,1,0,14.138199736518965
4,11,11.717648263813752,0.0,0,0,11.522864583333334
5,11,45.63286979857981,99.0,1,0,12.937329448177602
6,11,45.63286979857981,99.0,1,0,12.38135995913891
7,11,14.750665377968595,0.99,0,0,6.238805310626715
1,12,45.63286979857981,99.0,1,0,0.0
2,12,45.63286979857981,0.0,0,0,0.0
3,12,45.63286979857981,0.99,0,0,15.486502941729048
1,13,45.63286979857981,99.0,1,1,0.0
2,13,45.63286979857981,0.0,0,1,1.4444444444444444
3,13,45.63286979857981,2.9699999999999998,0,1,11.397778810752417
4,13,45.63286979857981,2.9699999999999998,0,1,9.375018734723815
5,13,45.63286979857981,1.98,0,1,10.799015361197412
6,13,45.63286979857981,0.0,0,1,13.043576189343417
7,13,45.63286979857981,1.98,0,1,12.233280711563378
1,14,45.63286979857981,0.0,0,1,0.0
2,14,45.63286979857981,0.0,0,1,0.0
3,14,17.27969723525274,1.98,0,1,10.113565325509636
1,15,45.63286979857981,99.0,1,1,0.0
2,15,45.63286979857981,99.0,1,1,0.0
3,15,45.63286979857981,0.99,0,1,17.532757567383833
4,15,45.63286979857981,99.0,1,1,14.895897360805165
5,15,45.63286979857981,99.0,1,1,13.487836854716164
6,15,86.71336922378318,99.0,1,1,9.60698182085693
7,15,96.13037986266811,99.0,1,1,11.097473989302756
4,16,0.0,0.0,0,1,14.727168397342307
5,16,45.63286979857981,0.0,0,1,15.747678683531571
6,16,11.865363927208605,2.9699999999999998,0,1,11.21305312874503
7,16,28.136211359253974,1.98,0,1,7.433263731774761
1,17,45.63286979857981,0.0,0,1,0.0
2,17,45.63286979857981,0.0,0,1,1.088695652173913
3,17,86.9044707685531,99.0,1,1,9.22294009264759
4,17,12.45611248146216,0.0,0,1,13.755923379593327
5,17,87.29827826339559,99.0,1,1,17.18486941567948
6,17,98.99999999999999,99.0,1,1,11.835881049441568
7,17,93.85834131311255,99.0,1,1,15.516827206090237
1,18,45.63286979857981,0.0,0,1,0.0
2,18,45.63286979857981,99.0,1,1,0.0
3,18,45.63286979857981,14.85,1,1,14.246013141568017
1,19,45.63286979857981,99.0,1,0,0.0
2,19,45.63286979857981,8.91,0,0,0.0
3,19,45.63286979857981,62.37,1,0,8.378479445466711
4,19,45.63286979857981,3.96,0,0,9.032093858842131
5,19,45.63286979857981,99.0,1,0,14.079980657640231
6,19,48.42946876995104,4.95,0,0,11.605771468702105
7,19,48.42946876995104,99.0,1,0,13.143789092292252
